# Blade spanwise distribution
# Source     : data_library/tidal_blade_radial_source.tsv (interpolated).
# Convention : SI units (m, deg, 1/m). Dimensionless = "-".
# Datum      : first row z = 0 at first tabulated station; radial r (hub) there is 1.375 m.
#              r/R and z/L are root-to-tip 0 to 1.
# Notes      : twist beta is structural built twist / washout (not angle of attack or pitch DOF).
#              naca_series: 4=four-digit, 5=five-digit, 6=six-series.
#              naca_m for 6-series is the family (e.g. 63 / 64); naca_p = design Cl*10; naca_xx = thickness %.
#              Full-span NACA 63-415 baseline: naca_series=6, naca_m=63, naca_p=4, naca_xx=15.
#
# Schema (in column order):
#   spanwise_pos       [m]     spanwise position z, root to tip
#   radial_pos         [m]     radial position r from rotor centre
#   norm_radial_pos    [-]     r / R_tip, 0 -> 1
#   norm_spanwise_pos  [-]     z / L,     0 -> 1
#   chord_dist         [m]     chord length c at this station
#   twist_dist         [deg]   structural built twist (washout) beta
#   naca_series        [-]     NACA family code (4, 5 or 6)
#   naca_m             [-]     NACA "m" digit(s)
#   naca_p             [-]     NACA "p" digit
#   naca_xx            [-]     NACA thickness in %
#   kappa0_x           [1/m]   reference curvature about x
#   kappa0_y           [1/m]   reference curvature about y
#   kappa0_z           [1/m]   reference twist about z
#
# units: m, m, -, -, m, deg, -, -, -, -, 1/m, 1/m, 1/m
  spanwise_pos     radial_pos  norm_radial_pos  norm_spanwise_pos      chord_dist      twist_dist  naca_series   naca_m   naca_p  naca_xx     kappa0_x     kappa0_y     kappa0_z
      3.355000     4.73000000     0.3485714286       0.3485714286     1.427020458     8.873581656            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      3.410000     4.78500000     0.3542857143       0.3542857143     1.412503469     8.714647136            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      3.465000     4.84000000     0.3600000000       0.3600000000     1.397986480     8.555712616            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      3.520000     4.89500000     0.3657142857       0.3657142857     1.384123139     8.404922754            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      3.575000     4.95000000     0.3714285714       0.3714285714     1.370335354     8.255074198            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      3.630000     5.00500000     0.3771428571       0.3771428571     1.356547555     8.105225642            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      3.685000     5.06000000     0.3828571429       0.3828571429     1.343393975     7.963093435            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      3.740000     5.11500000     0.3885714286       0.3885714286     1.330296743     7.821646826            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      3.795000     5.17000000     0.3942857143       0.3942857143     1.317199510     7.680200218            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      3.850000     5.22500000     0.4000000000       0.4000000000     1.304720588     7.546084814            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      3.905000     5.28000000     0.4057142857       0.4057142857     1.292280866     7.412434041            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      3.960000     5.33500000     0.4114285714       0.4114285714     1.279841131     7.278783269            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      4.015000     5.39000000     0.4171428571       0.4171428571     1.267995548     7.152064398            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      4.070000     5.44500000     0.4228571429       0.4228571429     1.256173174     7.025616349            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      4.125000     5.50000000     0.4285714286       0.4285714286     1.244350800     6.899168300            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      4.180000     5.55500000     0.4342857143       0.4342857143     1.233102846     6.779326226            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      4.235000     5.61000000     0.4400000000       0.4400000000     1.221863858     6.659587475            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      4.290000     5.66500000     0.4457142857       0.4457142857     1.210628526     6.539889896            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      4.345000     5.72000000     0.4514285714       0.4514285714     1.199941284     6.426389224            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      4.400000     5.77500000     0.4571428571       0.4571428571     1.189254041     6.312888552            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      4.455000     5.83000000     0.4628571429       0.4628571429     1.178581718     6.199554122            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      4.510000     5.88500000     0.4685714286       0.4685714286     1.168416384     6.091866076            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      4.565000     5.94000000     0.4742857143       0.4742857143     1.158251050     5.984178031            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      4.620000     5.99500000     0.4800000000       0.4800000000     1.148110494     5.876762899            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      4.675000     6.05000000     0.4857142857       0.4857142857     1.138434715     5.774468406            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      4.730000     6.10500000     0.4914285714       0.4914285714     1.128758936     5.672173913            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      4.785000     6.16000000     0.4971428571       0.4971428571     1.119116020     5.570242956            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      4.840000     6.21500000     0.5028571429       0.5028571429     1.109893001     5.472955851            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      4.895000     6.27000000     0.5085714286       0.5085714286     1.100669969     5.375668745            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      4.950000     6.32500000     0.5142857143       0.5142857143     1.091487210     5.278821190            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      5.005000     6.38000000     0.5200000000       0.5200000000     1.082689850     5.186180491            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      5.060000     6.43500000     0.5257142857       0.5257142857     1.073892476     5.093539793            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      5.115000     6.49000000     0.5314285714       0.5314285714     1.065140863     5.001402182            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      5.170000     6.54500000     0.5371428571       0.5371428571     1.056735914     4.913076124            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      5.225000     6.60000000     0.5428571429       0.5428571429     1.048330979     4.824750066            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      5.280000     6.65500000     0.5485714286       0.5485714286     1.039976671     4.736979805            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      5.335000     6.71000000     0.5542857143       0.5542857143     1.031937074     4.652663821            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      5.390000     6.76500000     0.5600000000       0.5600000000     1.023897476     4.568347837            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      5.445000     6.82000000     0.5657142857       0.5657142857     1.015912439     4.484631056            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      5.500000     6.87500000     0.5714285714       0.5714285714     1.008212521     4.404046100            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      5.555000     6.93000000     0.5771428571       0.5771428571     1.000512618     4.323461143            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      5.610000     6.98500000     0.5828571429       0.5828571429     0.992870106     4.243510356            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      5.665000     7.04000000     0.5885714286       0.5885714286     0.985484528     4.166398394            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      5.720000     7.09500000     0.5942857143       0.5942857143     0.978098963     4.089286432            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      5.775000     7.15000000     0.6000000000       0.6000000000     0.970768851     4.012841784            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      5.830000     7.20500000     0.6057142857       0.6057142857     0.963654120     3.938988191            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      5.885000     7.26000000     0.6114285714       0.6114285714     0.956539389     3.865134598            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      5.940000     7.31500000     0.6171428571       0.6171428571     0.949487509     3.791968259            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
